Observation	Action i	Action j	Action hot bits	Reward	Evaluation time	Agent seed
[128   0   0 ...   0   0   0]	0	1	[ 96 114  41 400 150   1  91]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	2	[124 125 176 304 251 270 224]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	3	[ 40 476 125  96 236 482 134]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	4	[127 465  91 483 368  68 117]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	5	[ 89 279 353 222 280  66 506]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	6	[404  78 402 384 186 449 410]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	7	[292 220 392 438 133 400 289]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	8	[ 24  19 467 108 182 413  87]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	9	[285 198 373 344 426 170 423]	-9.08533602405734	0.015599966049194336	
[128   0   0 ...   0   0   0]	0	10	[223 274 502  85 476 205  14]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	11	[412 383  82 449 237 225 150]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	12	[199 241 281  42 452 317 434]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	13	[ 36 214  15 322 311 398  37]	-9.08533602405734	0.006513833999633789	
[128   0   0 ...   0   0   0]	0	14	[157 438 112 495 182 300  42]	-9.08533602405734	0.006514072418212891	
[128   0   0 ...   0   0   0]	1	0	[385 400   0 323  64  80 416]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	1	[279 165 145 177 311 128 168]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	2	[223 108 138 508 443 212 362]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	3	[320 325 430 123 510 232 108]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	4	[510 241  84 299   8 144 300]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	5	[493 369  48 421 471 128 267]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	6	[260 375 480 326 504  58 412]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	7	[401 479 353 192 411   7 509]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	8	[ 49  28 170 456  89 149 321]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	9	[110 344 197 399 200 463 281]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	10	[429 168 321  78 289 152 492]	-9.08533602405734	0.015627622604370117	
[128   0   0 ...   0   0   0]	1	11	[ 57 423 431 357 397 105 195]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	12	[195 217 135 184 230 289  84]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	13	[160 376 476 471  12 226  48]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	14	[448 497 105 118 182  68 357]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	0	[491  64 258  24 124 338  16]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	1	[220 352 379 350 385 491 384]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	2	[ 78 188 341 350 404 377  89]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	3	[ 86 384 189 139 154 336 341]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	4	[270  89 467 430  48 371 102]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	5	[ 71   5 499 253 325 322 494]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	6	[169 173 395 291 506 250 122]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	7	[ 53 218 315 391 268 415 221]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	8	[439 416 114 285  73 134 504]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	9	[217 472 200 211 363 148   8]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	10	[ 25 326 237 442  91  85 321]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	11	[471 199 103 151 354 322 435]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	12	[316 195 225 458 485 168 191]	-9.08533602405734	0.0	
